# Constructed from biom file
#OTU ID	SCSL1	SCSL2	SCSL3	HNSPL21	LDL37	LDL38	MGLL6	SCBL22	SCBL23	SCBL24	SCML31	SCML32	SCML33	SCQGL34	SCQGL35	SCSPL12	SCSPL13	SCSPL14	SXBL40	SXBL41	SXBL42	SXSPL17	SXSPL18	WHSPL27	WHSPL28	WHSPL29	LDL39	SXSPL16	HNSPL19	MGLL4	SCQGL36	HNSPL20	MGLL5
otu00022	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1410.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0
otu00023	1.0	2.0	0.0	65.0	2.0	0.0	16.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	250.0	619.0	3.0	234.0	0.0
otu00024	0.0	0.0	0.0	21.0	407.0	12.0	0.0	24.0	13.0	78.0	3.0	0.0	0.0	71.0	158.0	1.0	4.0	16.0	27.0	26.0	0.0	10.0	14.0	2.0	582.0	70.0	9.0	50.0	11.0	0.0	31.0	50.0	0.0
otu00025	0.0	0.0	0.0	63.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	10.0	369.0	0.0	0.0	0.0	62.0	35.0	1.0	1.0	0.0	0.0	99.0	103.0	0.0	0.0	397.0	0.0
otu00026	9.0	127.0	2.0	0.0	30.0	0.0	8.0	0.0	14.0	4.0	0.0	0.0	2.0	33.0	515.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	397.0	0.0	1.0	4.0	8.0	0.0	39.0	114.0	1.0	3.0
otu00027	0.0	3.0	0.0	10.0	212.0	16.0	8.0	9.0	33.0	80.0	2.0	1.0	0.0	94.0	162.0	3.0	5.0	4.0	77.0	30.0	2.0	11.0	64.0	1.0	48.0	42.0	7.0	55.0	61.0	4.0	92.0	37.0	0.0
otu00028	10.0	25.0	1.0	0.0	1.0	0.0	122.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	89.0	1.0	0.0	333.0
otu00029	59.0	12.0	357.0	0.0	2.0	1.0	7.0	53.0	0.0	141.0	0.0	5.0	0.0	1.0	1.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	7.0
otu00030	87.0	453.0	120.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otu00031	3.0	8.0	6.0	0.0	19.0	10.0	658.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	3.0	1.0	2.0	1.0	9.0	0.0	0.0	5.0
otu00032	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	318.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	357.0	0.0	0.0
