	MT2.141698	CA1.141704	BB2.141659	CO2.141657	TL3.141709	SN3.141650	SK2.141662	CR1.141682	CF3.141691	BZ1.141724	TL1.141653	GB3.141652	CM1.141723	CL1.141697	HF1.141663	PE7.141734	HF2.141686	GB2.141732	CF1.141675	IE2.141655	PE1.141715	MP2.141695	SN1.141681	DF3.141696	BP1.141702	SR1.141680	SP1.141656	LQ2.141729	VC2.141694	HJ1.141718	KP3.141658	HJ2.141717	SK3.141716	PE6.141700	PE4.141683	SK1.141669	MP1.141661	BF2.141708	BF1.141647	AR3.141705	CF2.141679	SA1.141670	LQ3.141712	AR1.141727	SR3.141674	MT1.141719	IT2.141720	CL3.141664	SF1.141728	SP2.141678	IE1.141648	MD2.141689	KP1.141713	PE5.141692	TL2.141706	HI4.141735	SB1.141730	HI3.141676	CL4.141667	PE3.141731	CO1.141714	RT1.141654	RT2.141710	KP4.141733	DF1.141684	CL2.141671	MD5.141688	IT1.141711	AR2.141703	CO3.141651	HI2.141672	DF2.141726	JT1.141699	GB1.141665	CC1.141721	SF2.141677	VC1.141722
AR1.141727	0.3021374	0.31401362	0.39909654	0.28527206	0.36786618	0.30161262	0.24918512	0.252639	0.4957321	0.3228534	0.3806685	0.2604413	0.25346546	0.31744528	0.39387488	0.2679057	0.44008526	0.2857861	0.42361776	0.29062318	0.38840032	0.33875146	0.33731748	0.3446712	0.30405382	0.26262034	0.2861816	0.37369622	0.27291178	0.348905	0.23323398	0.31656914	0.28496094	0.37257034	0.41818144	0.33174634	0.34085402	0.40877156	0.38743874	0.16481996	0.4648174	0.30360588	0.40399454	0.0	0.3044706	0.25387552	0.30368142	0.29843722	0.29796648	0.34010698	0.29674578	0.36277602	0.26059302	0.40529406	0.2458101	0.37956864	0.30383464	0.27490606	0.27765304	0.41295816	0.29825606	0.2236108	0.2597465	0.2174172	0.31567256	0.27016212	0.388851	0.329682	0.1915328	0.28778978	0.31951124	0.26621876	0.36458368	0.3126269	0.25045894	0.31615404	0.27096218
SR3.141674	0.21398084	0.26381746	0.45186246	0.2598053	0.40267386	0.21056434	0.27688616	0.28521288	0.54766798	0.33779976	0.4002351	0.25589938	0.29641114	0.3118074	0.44029096	0.2934831	0.48617074	0.21340938	0.4900978	0.26986466	0.41259124	0.38148974	0.31017112	0.34230128	0.31045326	0.22297286	0.1950928	0.42293178	0.28826922	0.33978844	0.30246358	0.32386522	0.30029606	0.41790546	0.43898524	0.2885717	0.34007662	0.44954224	0.42295294	0.32009984	0.5174812	0.18690764	0.43648314	0.3044706	0.0	0.2515922	0.2481309	0.31629362	0.24429008	0.36422382	0.24456874	0.21136842	0.24949426	0.42613102	0.29625918	0.39087844	0.15823228	0.27887242	0.23550556	0.4433846	0.23058082	0.27568496	0.28568694	0.25966028	0.30067052	0.25925124	0.29780172	0.27644252	0.27888984	0.3036679	0.29368056	0.21079284	0.185826	0.20700922	0.23383194	0.2418506	0.22599978
MT1.141719	0.20977056	0.22262778	0.40922282	0.2254523	0.3715499	0.24968118	0.22004064	0.242638	0.50818514	0.30013676	0.36205294	0.22782862	0.24760678	0.31370424	0.41183444	0.27905658	0.44810198	0.20888142	0.4496908	0.19362982	0.39595888	0.34648714	0.32940704	0.345934	0.2627423	0.21741022	0.2177848	0.39279178	0.2275385	0.3483192	0.25647806	0.31164786	0.29913562	0.37643666	0.4225048	0.3080995	0.33425002	0.42280928	0.39286738	0.26277844	0.47665208	0.23249416	0.40907846	0.25387552	0.2515922	0.0	0.22844778	0.30306306	0.24893784	0.32539026	0.23545982	0.35059414	0.18959402	0.41346786	0.21954826	0.38917204	0.2712426	0.2562249	0.2729488	0.41645896	0.21757058	0.23510412	0.2390109	0.18331772	0.31116428	0.26038856	0.41064848	0.21780168	0.24637116	0.29485314	0.34863188	0.2115576	0.32989964	0.2125553	0.17836466	0.3030752	0.24641002
IT2.141720	0.1388103	0.30795472	0.37569628	0.17823176	0.31406016	0.21564412	0.25087702	0.31008482	0.4742754	0.22592082	0.3373838	0.26738588	0.33377892	0.2295867	0.36336026	0.24384372	0.40599172	0.2688256	0.42092854	0.17372016	0.3189097	0.27920484	0.27689454	0.25428462	0.32184132	0.27135424	0.22412142	0.34652032	0.25734116	0.25540398	0.3362986	0.24403196	0.19131324	0.34492392	0.34967138	0.1957356	0.2506058	0.36773874	0.34055156	0.30844154	0.44612222	0.23857098	0.35883116	0.30368142	0.2481309	0.22844778	0.0	0.24433216	0.31807278	0.295741	0.1625422	0.342095	0.24143864	0.34263932	0.2844108	0.31053066	0.2873373	0.28084244	0.19933614	0.35775266	0.19678756	0.32489858	0.3254292	0.24106142	0.19620298	0.22613234	0.39203202	0.23537738	0.27780154	0.31222112	0.30692182	0.19730918	0.30842086	0.26754424	0.17292916	0.35012994	0.18852736
CL3.141664	0.26076478	0.34420104	0.2615824	0.20617404	0.19491332	0.27576328	0.2559141	0.2988697	0.34563732	0.17935114	0.31262652	0.265157	0.30383468	0.13415462	0.22656822	0.25360892	0.26809624	0.32198396	0.29470402	0.25601604	0.20288986	0.1764302	0.21562762	0.15405818	0.29776816	0.27781076	0.2559743	0.2271866	0.28650556	0.2084313	0.27885488	0.166938	0.19383952	0.21156228	0.23076478	0.20622844	0.17581328	0.22874802	0.21411312	0.26780118	0.31457138	0.31445394	0.23270908	0.29843722	0.31629362	0.30306306	0.24433216	0.0	0.29943234	0.19557236	0.24852064	0.38698728	0.30493736	0.23398804	0.28830332	0.1997895	0.31033666	0.29619332	0.22141082	0.23860802	0.283938	0.29428938	0.28011964	0.29774538	0.18267954	0.19126634	0.40138986	0.32744294	0.25089786	0.29885732	0.29787518	0.2879179	0.37797194	0.35949612	0.24848016	0.35505246	0.2421904
SF1.141728	0.29489212	0.19416134	0.3932213	0.22402878	0.35069586	0.26664678	0.27407496	0.15718804	0.47347338	0.32282008	0.40016046	0.18210362	0.16760094	0.32563188	0.38112464	0.3487281	0.42009106	0.1798609	0.4200946	0.29238882	0.39773892	0.34054002	0.2910718	0.33140108	0.17993698	0.15239202	0.20597896	0.38178682	0.20440042	0.36285956	0.17114598	0.3209097	0.33643922	0.37812698	0.40398596	0.3338407	0.33847994	0.39274664	0.37574774	0.25297004	0.4434446	0.24138288	0.3939967	0.29796648	0.24429008	0.24893784	0.31807278	0.29943234	0.0	0.33414174	0.3208703	0.31543758	0.21489658	0.3959711	0.23835826	0.36744268	0.2347566	0.29239858	0.27708256	0.39616884	0.26333646	0.23667004	0.16302166	0.23928004	0.34346744	0.26487892	0.38713288	0.32872208	0.24136904	0.21313754	0.33372404	0.29345004	0.33227152	0.27076162	0.26402154	0.24233336	0.26460122
SP2.141678	0.31101242	0.36951488	0.20031812	0.26125796	0.19389416	0.30729372	0.26423974	0.34589442	0.30519664	0.1936189	0.25767212	0.30315288	0.34360944	0.20615794	0.19855874	0.2838436	0.23389324	0.35777516	0.2344995	0.2911476	0.19323366	0.16323072	0.24649026	0.20061434	0.32378928	0.31906204	0.30554958	0.19728692	0.3200274	0.22927146	0.33091592	0.17090544	0.22787312	0.18510184	0.21023558	0.26725836	0.17999524	0.21400874	0.17227384	0.3109013	0.27645218	0.35705746	0.21179348	0.34010698	0.36422382	0.32539026	0.295741	0.19557236	0.33414174	0.0	0.31187728	0.42891164	0.36142164	0.21189556	0.28075988	0.17995274	0.38393166	0.36944028	0.30384362	0.20193834	0.3200346	0.33699682	0.31225196	0.34703386	0.25904626	0.26302566	0.44799562	0.36972462	0.31254078	0.33231628	0.33948982	0.34248822	0.4157381	0.37702412	0.28567364	0.39056546	0.31665168
IE1.141648	0.16755754	0.33760996	0.38730212	0.23384384	0.34092684	0.2608984	0.24943054	0.32054558	0.49550284	0.2644483	0.34416352	0.2837212	0.31587456	0.2399403	0.37480434	0.20548604	0.42824888	0.29237668	0.43323502	0.19152512	0.33683114	0.31705732	0.31353266	0.27816582	0.33764668	0.28270448	0.2450879	0.35585816	0.2888056	0.26215506	0.32615	0.25902012	0.22129704	0.3438822	0.3703685	0.22428288	0.26633048	0.38821482	0.35537148	0.30265078	0.4638975	0.2738215	0.36229656	0.29674578	0.24456874	0.23545982	0.1625422	0.24852064	0.3208703	0.31187728	0.0	0.337803	0.2775112	0.35615648	0.28595044	0.3158755	0.2726813	0.24348188	0.2061773	0.37417778	0.21767296	0.30886022	0.31228544	0.2666937	0.20410346	0.2324815	0.37687694	0.1963725	0.26982246	0.3372958	0.29406238	0.18869262	0.3042749	0.29958044	0.18440828	0.33898786	0.21549156
MD2.141689	0.31179302	0.35204348	0.48563224	0.34538236	0.42926	0.28621056	0.36462886	0.35325366	0.55431304	0.40178158	0.46401156	0.32636952	0.36043336	0.3700079	0.46375198	0.36766016	0.49796928	0.2901646	0.5164653	0.37559912	0.44196782	0.42132068	0.33599306	0.36203954	0.3874926	0.29160268	0.28130558	0.45298676	0.3519692	0.36042426	0.35158504	0.36192584	0.35984184	0.45630312	0.44935906	0.33097728	0.37152212	0.48031394	0.44653048	0.37015598	0.5292359	0.25692394	0.4536494	0.36277602	0.21136842	0.35059414	0.342095	0.38698728	0.31543758	0.42891164	0.337803	0.0	0.31282656	0.43379632	0.38355504	0.41105618	0.2313713	0.34735416	0.3148469	0.45923066	0.3289916	0.32632202	0.32824256	0.34024118	0.33183582	0.34742966	0.21684514	0.36929266	0.34802494	0.35135576	0.32536086	0.28839842	0.15320322	0.29870992	0.3373604	0.24634346	0.32575008
KP1.141713	0.23401642	0.18696552	0.41583384	0.22951424	0.36718084	0.2157154	0.27781226	0.20625502	0.51089256	0.3310377	0.420322	0.20580708	0.23141584	0.3280249	0.39347994	0.33128184	0.44491248	0.18410632	0.44316794	0.1976122	0.41291038	0.34855076	0.29906854	0.3362291	0.23654304	0.17573208	0.19071906	0.39173252	0.17386796	0.36328482	0.22132876	0.32414624	0.30554352	0.39713056	0.42170558	0.3132396	0.3483974	0.4106673	0.3906986	0.23742386	0.47940006	0.2006407	0.40543304	0.26059302	0.24949426	0.18959402	0.24143864	0.30493736	0.21489658	0.36142164	0.2775112	0.31282656	0.0	0.41589044	0.2781948	0.37204458	0.2479463	0.26109684	0.26340678	0.41212306	0.21903052	0.2353617	0.2307346	0.16199746	0.3168505	0.25904058	0.38512906	0.2776847	0.22352442	0.23647452	0.30445482	0.24807586	0.3353183	0.22310668	0.20787272	0.25826314	0.24715436
